Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Beden,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Power Supply,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ofis - İş,,,,,,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),,7520U,5. Nesil,AMD Ryzen 5,4,Free Dos,,https://www.trendyol.com//asus/vivobook-go-15-e1504fa-nj287-ryzen5-7520u-8gb-512ssd-15-6-fullhd-freedos-tasinabilir-bilgisaya-p-774796276?boutiqueId=61&merchantId=106664,11.849 TL
16 GB,HDMI,,Tek Ebat,4 kg ve Üstü,,"24"" / 61 Ekran",Nvidia GeForce GT 730,DDR3,4 GB,Harici,75 Hz,,2 Yıl,Zeiron Türkiye Garantili,,Var,,Yok,RGB,Oyun,,Evde Eğitim,Yok,TN,350 - 500 W,16 GB,DDR3,,512 GB,,,3.2,1920 x 1080,Full HD (FHD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//zeiron/gt67-i5-3470-16gb-512gb-ssd-nvidia-gt730-4gb-23-8-oyuncu-masaustu-bilgisayar-p-647229451?boutiqueId=626264&merchantId=127037,9.349 TL
,,,,,Var,,Dahili Ekran Kartı,Belirtilmemiş,,Dahili,,,2 Yıl,Resmi Distribütör Garantili,,,64 GB,64 GB,Yok,Ofis - İş,,,DVD Okuyucu,,250 - 350 W,4 GB,,Siyah,120 GB,,,,1366 x 768,,,3200U,Belirtilmemiş,Intel Core i3,2,Free Dos,,https://www.trendyol.com//netum/tp1300-i3-islemci-15-6-ekran-dokunmatik-pos-pc-bilgisayar-kiosk-p-318465994?boutiqueId=61&merchantId=108984,"8.999,90 TL"
16 GB,HDMI,,,,,"24"" / 61 Ekran",Nvidia GeForce GTX1050 Ti,GDDR5,4 GB,Harici,75 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,500 GB,500 GB,Numerik Tuşlu Aydınlatmalı,Oyun,,,Yok,IPS,350 - 500 W,16 GB,DDR3,,256 GB,,,2.8,1920 x 1080,Full HD (FHD),,860,Belirtilmemiş,Intel Core i7,4,Windows,,https://www.trendyol.com//dmc/n170x-pubg-gta5-i7-860-16gb-256gb-ssd-500gb-hdd-4gb-gtx1050ti-23-8-oyuncu-masaustu-bilgisayari-p-411260197?boutiqueId=61&merchantId=172251&advertItems=eyJhZHZlcnRJZCI6IjY4NDI5YjNlLWMxMzYtNGMzMi04OGVkLWM5N2JlMjEyYzQzYiIsInNvcnRpbmdTY29yZSI6MC4wMzk4MDg3NzkwMzQ3NjM1NzYsImFkU2NvcmUiOjAuMDUyNDQ4OTg0MjM1NTI1MTMsImFkU2NvcmVzIjp7IjEiOjAuMDUyNDQ4OTg0MjM1NTI1MTMsIjIiOjAuMDUyNDQ4OTg0MjM1NTI1MTN9LCJjcGMiOjAuNzU5LCJtaW5DcGMiOjAsImVDcGMiOjAuNzU5LCJhZHZlcnRTbG90IjoxNzcsIm9yZGVyIjoxMSwic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,12.999 TL
,Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),,7940HS,7. Nesil,AMD Ryzen 9,8,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507xi-lp041-8gb-rtx4070-140w-ryzen-9-7940hs-16gb-ram-512gb-ssd-15-6-fhd-144hz-p-737000093?boutiqueId=61&merchantId=114271,52.499 TL
,Bluetooth - HDMI,,,2 kg ve Altı,Yok,18 inç,Nvidia GeForce RTX 4090,GDDR6,16 GB,Harici,240 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,5.0,,,IPS,,32 GB,DDR5,Siyah,2 TB,,,4,2560 x 1600,QHD+,,13980HX,13. Nesil,Intel Core i9,24,Windows,3 Saat ve Altı,https://www.trendyol.com//asus/rog-strix-scar-18-g834jy-n6040w-intel-core-i9-13980hx-32gb-ram-1tb-1tb-ssd-16gb-rtx4090-w11h-p-735698799?boutiqueId=61&merchantId=557390,149.999 TL
,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",Intel Iris Graphics,SD,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),Ofis - İş,,,,,,8 GB,DDR4,Gümüş,512 GB,,,,1920 x 1080,Full HD (FHD),,1155G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//hp/15s-fq4015nt-54u49ea-i5-1155g7-8gb-512ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-764668783?boutiqueId=61&merchantId=194340,13.441 TL
16 GB,,,Tek Ebat,4 kg ve Üstü,,"24"" / 61 Ekran",Nvidia GeForce GTX1050 Ti,GDDR5,4 GB,Harici,75 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,Yok,RGB,Oyun,,,Yok,,500 W ve üstü,16 GB,DDR3,,512 GB,,,,1920 x 1080,Full HD (FHD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//biggamex/btx59-i5-3470-16gb-512gb-ssd-gtx1050ti-23-8-curved-oyuncu-masaustu-bilgisayari-p-675747129?boutiqueId=61&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjRkZTk5NTMxLTRkNmQtNDQ0Ni1hN2IwLTE5NTQyOWI5MTQ2OSIsInNvcnRpbmdTY29yZSI6MC4wMzk3Mzg2MjM3OTM1MTI1NzYsImFkU2NvcmUiOjAuMDE3MDEzNjExMjcxOTc3NDI1LCJhZFNjb3JlcyI6eyIxIjowLjAxNzAxMzYxMTI3MTk3NzQyNSwiMiI6MC4wMTcwMTM2MTEyNzE5Nzc0MjV9LCJjcGMiOjIuMzM1Njk1OTk5OTk5OTk5NiwibWluQ3BjIjowLCJlQ3BjIjoyLjMzNTY5NTk5OTk5OTk5OTYsImFkdmVydFNsb3QiOjE3OCwib3JkZXIiOjE1LCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,12.849 TL
64 GB,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"14,1 inç",Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Ofis - İş,4.4,,,IPS,,32 GB,DDR4,Pembe,1 TB,Gen 4,,1.3,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,4-6 Saat,https://www.trendyol.com//monster/huma-h4-v5-1-11-intel-core-i5-1235u-32gb-ram-1tb-ssd-freedos-14-1-fhd-rose-gold-p-670464371?boutiqueId=61&merchantId=105286,23.499 TL
,VGA - HDMI,,,,,"20"" / 51 Ekran",Intel HD Graphics,Dahili,,Dahili,,,2 Yıl,İthalatçı Garantili,,Var,256 GB,256 GB,RGB,,,,Yok,,,8 GB,,Siyah,256 GB,,,,,,,3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//jetucuzal/j-tech-r266-i5-3470-8gb-ram-256gb-m-2-nvme-ssd-20-inc-fhd-monitor-wi-fi-masaustu-bilgisayar-uyumlu-p-785374489?boutiqueId=61&merchantId=114133,5.382 TL
,Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",AMD Radeon R5,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ofis - İş,,,,,,8 GB,LPDDR5,Gümüş,256 GB,,,,1920 x 1080,Full HD (FHD),,7520U,7. Nesil,AMD Ryzen 5,4,Windows,,https://www.trendyol.com//hp/15-fc0019nt-7q9l1ea-amd-ryzen-5-7520u-8gb-ram-256gb-ssd-15-6-inc-fhd-windows-11-home-gumus-p-761395712?boutiqueId=61&merchantId=467452,13.499 TL
16 GB,HDMI,,,2 - 4 kg,,,AMD Radeon RX 580,GDDR5,8 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,Var,500 GB,500 GB,Yok,Ev - Okul,,,Yok,,500 W ve üstü,16 GB,DDR3,Siyah,256 GB,,,3.2,1920 x 1080,,3.00 GHz üstü,3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//biggamex/aizen-gt09-i5-3470-16gb-ram-500gb-hdd-256gb-ssd-8gb-rx580-256bit-oyuncu-bilgisayari-p-145615473?boutiqueId=61&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjI4YjZlYzg3LThiMGYtNGVmZS1hYTJiLTI2YjMxMThlMjhlNSIsInNvcnRpbmdTY29yZSI6MC4wMzk2NTE0NTQ3Njc5MjAwNywiYWRTY29yZSI6MC4wMjI0MTQzNjIwNTgwNDM0OCwiYWRTY29yZXMiOnsiMSI6MC4wMjI0MTQzNjIwNTgwNDM0OCwiMiI6MC4wMjI0MTQzNjIwNTgwNDM0OH0sImNwYyI6MS43NjkwMTk5OTk5OTk5OTk2LCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuNzY5MDE5OTk5OTk5OTk5NiwiYWR2ZXJ0U2xvdCI6MTc5LCJvcmRlciI6MTksInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,8.349 TL
,HDMI,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,Yok,RGB Türkçe,Oyun,4.7,,Yok,IPS,,16 GB,DDR4,Siyah,1 TB,,,2.3,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//casper/excalibur-g770-1265-bfj0x-b-intel-core-i7-12650h-16gb-ram-1tb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-311975829?boutiqueId=61&merchantId=114258,27.599 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//hp/victus-laptop-16-r0057nt-i5-13500h-16gb-ram-1tb-ssd-6gb-rtx-3050-16-1-fhd-freedos-mavi-7p6d2ea-p-745988566?boutiqueId=61&merchantId=118442,29.499 TL
,,,,2 - 4 kg,,"24"" / 61 Ekran",Nvidia GeForce GTX 1660 SUPER,GDDR6,4 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,Yok,Q Türkçe,Oyun,,,Yok,,500 W ve üstü,16 GB,DDR3,,512 GB,,,,1920 x 1080,,,3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//izoly/nightgamers-i5-3470-16gb-512gb-ssd-gtx-1660s-6gb-24-24-100hz-cift-ekran-gaming-pc-p-741766239?boutiqueId=61&merchantId=123676,14.533 TL
32 GB,,,Tek Ebat,4 kg ve Üstü,,,Nvidia GeForce RTX3060,GDDR6,8 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,Var,,1 TB,Yok,Oyun,,Üniversite,Yok,,500 W ve üstü,32 GB,DDR4,,512 GB,,,,1920 x 1080,,3.00 GHz üstü,3600,,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//biggamex/bgx30-ryzen-5-3600-32gb-512gb-m-2-ssd-1tb-rtx3060-oyuncu-masaustu-bilgisayar-p-470223273?boutiqueId=61&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjRkZTk5NTMxLTRkNmQtNDQ0Ni1hN2IwLTE5NTQyOWI5MTQ2OSIsInNvcnRpbmdTY29yZSI6MC4wMzk2MTgwNjQzMTQwMDc3NiwiYWRTY29yZSI6MC4wMTU2NjUzMDc2NDEwMjkzNTgsImFkU2NvcmVzIjp7IjEiOjAuMDE1NjY1MzA3NjQxMDI5MzU4LCIyIjowLjAxNTY2NTMwNzY0MTAyOTM1OH0sImNwYyI6Mi41MjkwMzIsIm1pbkNwYyI6MCwiZUNwYyI6Mi41MjkwMzIsImFkdmVydFNsb3QiOjE4MCwib3JkZXIiOjIzLCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,21.599 TL
,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,,32 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),,12700H,12. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//acer/an515-58-intel-core-i7-12700h-32gb-1tb-ssd-rtx4060-8gb-dos-15-6-fhd-165hz-gaming-laptop-p-743152344?boutiqueId=61&merchantId=727717,44.899 TL
32 GB,HDMI,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,Belirtilmemiş,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.2,,Yok,IPS,,8 GB,DDR4,Lacivert,256 GB,,,,1920 x 1080,Full HD (FHD),,5600H,5. Nesil,AMD Ryzen 5,6,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//hp/victus-gaming-15-fb0014nt-71t75ea1-amd-ryzen-5-5600h-8gb-256gb-ssd-gtx1650-4gb-15-6-fhd-fdos-p-669832706?boutiqueId=61&merchantId=444099,"24.749,01 TL"
,,,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce MX550,GDDR6,2 GB,Harici,Belirtilmemiş,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,4.4,,,SVA,,8 GB,DDR4,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Windows,,https://www.trendyol.com//hp/250-g9-intel-core-i5-1235u-8gb-512gb-ssd-notebook-723q0ea-p-641749619?boutiqueId=61&merchantId=742060,17.369 TL
16 GB,HDMI,,,2 - 4 kg,,6 inç ve üstü,AMD Radeon RX 550,GDDR5,4 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,256 GB,,Oyun,,,Yok,,500 W ve üstü,16 GB,DDR3,,256 GB,,,3.2,1920 x 1080,,3.00 GHz üstü,3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//biggamex/sx85-i5-3470-16gb-ram-256gb-ssd-rx550-4gb-oyuncu-masaustu-bilgisayar-p-756805804?boutiqueId=61&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjRkZTk5NTMxLTRkNmQtNDQ0Ni1hN2IwLTE5NTQyOWI5MTQ2OSIsInNvcnRpbmdTY29yZSI6MC4wMzk1NzMxMjg1MTk1OTQ2NiwiYWRTY29yZSI6MC4wMjAzMDQwNzQ1MTA5MzE5NywiYWRTY29yZXMiOnsiMSI6MC4wMjAzMDQwNzQ1MTA5MzE5NywiMiI6MC4wMjAzMDQwNzQ1MTA5MzE5N30sImNwYyI6MS45NDkwMjM5OTk5OTk5OTk0LCJtaW5DcGMiOjAsImVDcGMiOjEuOTQ5MDIzOTk5OTk5OTk5NCwiYWR2ZXJ0U2xvdCI6MTgxLCJvcmRlciI6Mywic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,6.749 TL
,,,,2 kg ve Altı,Yok,"15,6 inç",AMD,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Asus Türkiye Garantili,,,256 GB,,Q İngilizce,Ev - Okul,,,Yok,,,8 GB,DDR4,Çok Renkli,256 GB,,,,1920 x 1080,Full HD (FHD),,4600H,4. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//asus/vivobook-15-m1502ia-ej132-ryzen-5-4600h-8gb-256gb-ssd-15-6-full-hd-freedos-notebook-p-350174650?boutiqueId=61&merchantId=641216,16.999 TL
,,,,2 kg ve Altı,Yok,"15,6 inç",AMD Radeon Graphics,SD,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,,,16 GB,DDR4,Gümüş,512 GB,,,,1920 x 1080,Full HD (FHD),,5625U,5. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/probook-455-g9-7k8q4aa-ryzen5-5625u-16gb-512ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-681213072?boutiqueId=61&merchantId=124551,"15.628,32 TL"
64 GB,,,,4 kg ve Üstü,,,AMD Radeon Vega 3,DDR4,Paylaşımlı,Dahili,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,Yok,Yok,Oyun,,,Yok,,500 W ve üstü,16 GB,DDR4,,256 GB,,,3.5,1920 x 1080,Full HD (FHD),3.00 GHz üstü,AMD Athlon 3000G,Belirtilmemiş,AMD Athlon,2,Free Dos,,https://www.trendyol.com//izoly/n12x-t-amd-3000g-3-50ghz-16gb-ddr4-3200mhz-256-ssd-argb-oyuncu-masaustu-bilgisayari-p-332966283?boutiqueId=626264&merchantId=123676,"7.129,76 TL"
32 GB,HDMI,,Tek Ebat,4 kg ve Üstü,,25 + inç,Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,Yok,RGB,Oyun,,,Yok,TN,500 W ve üstü,16 GB,DDR4,,512 GB,,LGA 1200,2.9,1920 x 1080,Full HD (FHD),3.00 GHz üstü,10400F,10. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//zeiron/galaxy-max2-i5-10400f-16gb-512gb-m-2-ssd-rtx3050-8gb-27-165hz-oyuncu-masaustu-bilgisayari-p-698392545?boutiqueId=61&merchantId=127037&advertItems=eyJhZHZlcnRJZCI6Ijk1ZWRiM2JmLTVkOTQtNGRmMy05NWNmLTYwZTc3OWRjMDZiZSIsInNvcnRpbmdTY29yZSI6MC4wMzk1MzU2NTkyNTM1OTcyNiwiYWRTY29yZSI6MC4wNDQ5MjY4ODU1MTU0NTE0MywiYWRTY29yZXMiOnsiMSI6MC4wNDQ5MjY4ODU1MTU0NTE0MywiMiI6MC4wNDQ5MjY4ODU1MTU0NTE0M30sImNwYyI6MC44ODAwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAsImVDcGMiOjAuODgwMDAwMDAwMDAwMDAwMSwiYWR2ZXJ0U2xvdCI6MTgyLCJvcmRlciI6Nywic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,24.599 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//biggamex/ms50-i5-3470-16-ram-500-hdd-256-ssd-23-8-monitor-ofis-pc-p-148299657?boutiqueId=61&merchantId=192618,7.899 TL
,,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,RGB Türkçe,Oyun,,,,,,16 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),,11320H,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/ideapad-gaming-3-82k101eltx03-i5-11320h-16gb-512ssd-rtx3050-15-6-fullhd-w11h-tasinabilir-bil-p-463450186?boutiqueId=61&merchantId=481559,27.982 TL
,HDMI - USB,,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),,13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r10054nt-i7-13700h-16gb-ram-rtx-3050-6gb-512gb-ssd-16-1-fhd-freedos-siyah-7p6l9ea-p-746153245?boutiqueId=61&merchantId=467452,32.499 TL
16 GB,HDMI,,,2 - 4 kg,Yok,"24"" / 61 Ekran",Nvidia GT730,DDR3,4 GB,Harici,75 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,,Yok,RGB,Oyun,,Evde Eğitim,Yok,TN,350 - 500 W,8 GB,DDR3,Siyah,240 GB,,,2.8,1920 x 1080,Full HD Ultra Wide,3.00 GHz üstü,860,1. Nesil,Intel Core i7,4,Free Dos,,https://www.trendyol.com//zeiron/sx75-i7-860-8gb-240gb-ssd-4gb-gt730-24-oyuncu-masaustu-bilgisayar-p-51720096?boutiqueId=61&merchantId=127037&advertItems=eyJhZHZlcnRJZCI6IjhiMjdlYTAzLTYyNTUtNDg0MC1hYWU5LWJhYWRhNmJmZGNhZCIsInNvcnRpbmdTY29yZSI6MC4wMzk1MzAxNzg0MjAyNDU2NiwiYWRTY29yZSI6MC4wMzQyMjUyNjI3MDE1MTEzOCwiYWRTY29yZXMiOnsiMSI6MC4wMzQyMjUyNjI3MDE1MTEzOCwiMiI6MC4wMzQyMjUyNjI3MDE1MTEzOH0sImNwYyI6MS4xNTUwMDAwMDAwMDAwMDAyLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuMTU1MDAwMDAwMDAwMDAwMiwiYWR2ZXJ0U2xvdCI6MTgzLCJvcmRlciI6MTEsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,9.499 TL
,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.5,,,IPS,,16 GB,DDR4,Gri,512 GB,,,3.2,1920 x 1080,Full HD (FHD),,11320H,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad-g3-15ihu6-intel-i5-11320h-16gb-512gb-ssd-rtx3050-freedos-15-6-82k101hwtxa37-p-782070765?boutiqueId=61&merchantId=155616,"24.834,03 TL"
128 GB,HDMI,,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,,64 GB,DDR5,Siyah,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Windows,3 Saat ve Altı,https://www.trendyol.com//msi/katana-17-b12vgk-401xtr-i7-12650h-32gb-ddr5-rtx4070-gddr6-8gb-1tb-ssd-17-3-fhd-144hz-dos-p-661530112?boutiqueId=61&merchantId=105013,71.199 TL
,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,17 inç,Nvidia GeForce RTX 4080,GDDR6,12 GB,Harici,240 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,,32 GB,DDR5,Siyah,2 TB,,,,2560 x 1600,QHD+,,13950HX,13. Nesil,Intel Core i9,24,Free Dos,,https://www.trendyol.com//msi/vector-17-gp78hx-13vh-479xtr-i9-13950hx-32gb-ddr5-rtx4080-gddr6-12gb-2tb-ssd-240hz-qhd-freedos-p-770027602?boutiqueId=61&merchantId=106740,93.499 TL
,,,,,,,Nvidia Geforce GT 740,DDR3,4 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,256 GB,,Oyun,,,Yok,,,32 GB,DDR4,,256 GB,,,3.6,,,,Ryzen 5 4500,Belirtilmemiş,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//dmc/n151x-pubg-gta-5-amd-reyzen-5-4500-32gb-ram-256gb-ssd-4gb-gt740-masaustu-oyuncu-bilgisayari-p-382737985?boutiqueId=61&merchantId=172251&advertItems=eyJhZHZlcnRJZCI6IjlkOTU1MzUzLWIxNTctNDAxYS1hMjQ2LWU3YWI5MDM4Nzk3NyIsInNvcnRpbmdTY29yZSI6MC4wMzkzMzg1MDgyNDgzMjkxNjQsImFkU2NvcmUiOjAuMDM2MDI2OTIxMTIzMjY2MjIsImFkU2NvcmVzIjp7IjEiOjAuMDM2MDI2OTIxMTIzMjY2MjIsIjIiOjAuMDM2MDI2OTIxMTIzMjY2MjJ9LCJjcGMiOjEuMSwibWluQ3BjIjowLCJlQ3BjIjoxLjEsImFkdmVydFNsb3QiOjE4NCwib3JkZXIiOjE1LCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,10.299 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//hp/victus-16-s0053nt-ryzen-7-7840hs-16gb-1tb-ssd-6gb-rtx-4050-144hz-16-1-fdos-laptop-892q1ea-p-745991257?boutiqueId=61&merchantId=109318,34.399 TL
,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,5.0,,,IPS,,32 GB,DDR4,Siyah,1 TB,Gen 4,,2.4,2560 x 1600,QHD,,13700H,13. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/tulpar-t6-v1-1-2-intel-core-i7-13700h-32-gb-ram-1-tb-ssd-8-gb-rtx-4070-freedos-16-qhd-165-hz-p-742790557?boutiqueId=61&merchantId=105286,59.999 TL
