Fiyat,Ekran Kartı,İşlemci,İşlemci Nesli,İşlemci Modeli,Ram,Ekran Boyutu,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Max İşlemci Hızı,Ram Tipi,SSD Kapasitesi,SSD Teknolojisi,Temel İşlemci Hızı,Çözünürlük,İşlemci Frekansı,İşlemci Çekirdek Sayısı,İşletim Sistemi
15149.0,AMD Radeon RX 550,AMD Ryzen 5,3. Nesil,3600,32.0,"24"" / 61 Ekran",GDDR5,4 GB,Harici,,,2 Yıl,,DDR4,512.0,,3.6,1920 x 1080,3.00 GHz üstü,6,Free Dos
113841.0,AMD Radeon RX 550,Intel Core i5,Belirtilmemiş,4570,16.0,22 - 24 inç,GDDR5,4 GB,Harici,75 Hz,,2 Yıl,,DDR3,240.0,Gen 3,2.9,1920 x 1080,3.00 GHz üstü,8,Windows
25999.0,Nvidia GeForce RTX 3050 Ti,AMD Ryzen 5,6. Nesil,6600H,16.0,"16,1 inç",GDDR6,4 GB,Harici,144 Hz,,2 Yıl,,DDR5,512.0,,,1920 x 1080,,6,Free Dos
13299.0,AMD Radeon RX 580,AMD Ryzen 5,5. Nesil,Ryzen 5 5500,32.0,6 inç ve üstü,GDDR5,8 GB,Harici,,,2 Yıl,,DDR4,512.0,,3.6,1920 x 1080,3.00 GHz üstü,6,Free Dos
29949.0,Nvidia GeForce RTX 4050,AMD Ryzen 7,Belirtilmemiş,7735HS,8.0,"15,6 inç",GDDR6,6 GB,Harici,144 Hz,,2 Yıl,4.7,DDR5,512.0,,3.7,1920 x 1080,,16,Free Dos
27299.0,Dahili Ekran Kartı,Apple M1,3. Nesil,Belirtilmemiş,8.0,"13,3 inç",DDR2,Paylaşımlı,Dahili,120 Hz,,2 Yıl,,DDR2,256.0,,Belirtilmemiş,2560 x 1600,,8,Mac Os
6699.0,Intel UHD Graphics 600,Intel Celeron,4. Nesil,N4020,8.0,"14,1 inç",DDR,Paylaşımlı,Dahili,60 Hz,,2 Yıl,2.8,DDR4,256.0,,1.1,1366 x 768,,2,Free Dos
10299.0,Intel UHD Graphics,Intel Core i3,12. Nesil,1215U,8.0,14 inç,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,6,Free Dos
8999.0,Nvidia GeForce GTX1050 Ti,Intel Core i5,2. Nesil,İ5-3470,16.0,,GDDR5,4 GB,Harici,,,2 Yıl,,,256.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
34900.0,M2 8 Çekirdekli,Apple M2,1. Nesil,Belirtilmemiş,8.0,"13,6 inç",Dahili,8 GB,Dahili,120 Hz,,2 Yıl,,DDR5,256.0,,3.3,2560 x 1600,,1,Mac Os
